npc,direction,runtime,width,height,bytes,sha256
fria_astra,down,public/assets/atlas/npcs/region_artica/maestro_v1/runtime/fria_astra/idle_down.webp,72,96,10130,b5b8d68a7db084ee35c431ad18fd7e533ba81a85a3e4d6fc203625906bd686f5
fria_astra,up,public/assets/atlas/npcs/region_artica/maestro_v1/runtime/fria_astra/idle_up.webp,72,96,9854,cd8a07598e8d6e4a653996858006384178f30697e5a31742915c9d04508e8efc
fria_astra,left,public/assets/atlas/npcs/region_artica/maestro_v1/runtime/fria_astra/idle_left.webp,72,96,10166,b51eeaad7d75869524fb3d0250e3464d9c4940ed4dfa65797ff7d7bb44411f42
fria_astra,right,public/assets/atlas/npcs/region_artica/maestro_v1/runtime/fria_astra/idle_right.webp,72,96,10098,3897aa7829971ca208c678656a22a8f249e1c4b1201b3295351941c54636f0b6
fria_boreas,down,public/assets/atlas/npcs/region_artica/maestro_v1/runtime/fria_boreas/idle_down.webp,72,96,8382,fac7086824d6a57ad8454995dbf85691212ea1bd4ef167010a65eccd92239055
fria_boreas,up,public/assets/atlas/npcs/region_artica/maestro_v1/runtime/fria_boreas/idle_up.webp,72,96,7942,3e0fe6b2acdc225374387c8176ad0d7831bf0a4a620b5ff0136d4187353cb835
fria_boreas,left,public/assets/atlas/npcs/region_artica/maestro_v1/runtime/fria_boreas/idle_left.webp,72,96,8686,1e79402eac36b467c6ad450ea08d05a5d01e94d5e80e536ac23c4cf94d73ea5b
fria_boreas,right,public/assets/atlas/npcs/region_artica/maestro_v1/runtime/fria_boreas/idle_right.webp,72,96,8860,d2d954488d841f2bfc2af425605c06ac8573ad11ce72974ffbf4411b8075036c
fria_borin,down,public/assets/atlas/npcs/region_artica/maestro_v1/runtime/fria_borin/idle_down.webp,72,96,10778,ee0b9a74b94d7ebb600c115d5c467bc6f8c22f330c6fbc1c080eae24cfe7ae42
fria_borin,up,public/assets/atlas/npcs/region_artica/maestro_v1/runtime/fria_borin/idle_up.webp,72,96,9878,ccd983000060cd98807a3625e0f5eb9dbde6343aca971e5261bad10c7bb838bb
fria_borin,left,public/assets/atlas/npcs/region_artica/maestro_v1/runtime/fria_borin/idle_left.webp,72,96,9920,901c6a83fae8a1493ce31ebdfdb535a048c5197658d6e4f24f3a403723da74e8
fria_borin,right,public/assets/atlas/npcs/region_artica/maestro_v1/runtime/fria_borin/idle_right.webp,72,96,9414,b0207a7db8bc4bc015e68b5cd59ee9100910448cc891f5b8d17346bdff880c82
fria_captain,down,public/assets/atlas/npcs/region_artica/maestro_v1/runtime/fria_captain/idle_down.webp,72,96,8910,5d99f299857345dc85bbd14c18d7923f211df0e2458bf169e7051880a2442d0f
fria_captain,up,public/assets/atlas/npcs/region_artica/maestro_v1/runtime/fria_captain/idle_up.webp,72,96,7968,6b04778565cc9870214ab9eb937ab09c73784759dd1b1d39ee33d4a0935a80cf
fria_captain,left,public/assets/atlas/npcs/region_artica/maestro_v1/runtime/fria_captain/idle_left.webp,72,96,9164,46579f837f0360512dc6858b97132118d4680524d4747167958d705f4981cf25
fria_captain,right,public/assets/atlas/npcs/region_artica/maestro_v1/runtime/fria_captain/idle_right.webp,72,96,8352,b57394304c946a92ec1ddb29630f04ca569268c85594a9229be8de308390feee
fria_dvalin,down,public/assets/atlas/npcs/region_artica/maestro_v1/runtime/fria_dvalin/idle_down.webp,72,96,9610,137e8aad893e23f0df1a8fe52fedf49c14dca458edfbb42123cdbebe1c55f495
fria_dvalin,up,public/assets/atlas/npcs/region_artica/maestro_v1/runtime/fria_dvalin/idle_up.webp,72,96,8720,5f4eeaff6c16cde31d34cb24bfdeb8fa41bd3b12c8ae731da52a0a3dd0c6885c
fria_dvalin,left,public/assets/atlas/npcs/region_artica/maestro_v1/runtime/fria_dvalin/idle_left.webp,72,96,9794,4acb7d55d3d1504ffdb9e9f4e3281b6cfb4111378f51fa7924f74b7e417c39f7
fria_dvalin,right,public/assets/atlas/npcs/region_artica/maestro_v1/runtime/fria_dvalin/idle_right.webp,72,96,9396,afe2e579a3cd776ffce0e158f14efd0be1557942b399ae493d3618c12632bb24
fria_einar,down,public/assets/atlas/npcs/region_artica/maestro_v1/runtime/fria_einar/idle_down.webp,72,96,10898,36bfdf349e91bd5290163a59edcad429d7611f25573dddee5fdde077f0bd6b94
fria_einar,up,public/assets/atlas/npcs/region_artica/maestro_v1/runtime/fria_einar/idle_up.webp,72,96,9738,3425b15eb6bec12cbeceb4aa7c404cdc16d640cec94b13e8c8e4965c47738f7b
fria_einar,left,public/assets/atlas/npcs/region_artica/maestro_v1/runtime/fria_einar/idle_left.webp,72,96,10142,998d5cfe06086c8bc1d519cfa4c8a1bcacd4046a2105213091d1a1ec69e1d5a3
fria_einar,right,public/assets/atlas/npcs/region_artica/maestro_v1/runtime/fria_einar/idle_right.webp,72,96,10082,2f0be05d8e81de7bbdc601962676421a758186614715a680d57bd0b5250e7bf5
fria_freya,down,public/assets/atlas/npcs/region_artica/maestro_v1/runtime/fria_freya/idle_down.webp,72,96,9362,93fcf7620f1d737c3002ad27ea1168a086d75d6ccb1eeb2b762a6990640d89da
fria_freya,up,public/assets/atlas/npcs/region_artica/maestro_v1/runtime/fria_freya/idle_up.webp,72,96,8154,88b41412dd7f8d94a52a87188b7ea6b9c1617ae0786ad35cfd94b11a961a5445
fria_freya,left,public/assets/atlas/npcs/region_artica/maestro_v1/runtime/fria_freya/idle_left.webp,72,96,9188,3a10fe8151d77bbbd1dfabdae1fc40e9c7f9d52e5b42a2451cef3a31dbdf5267
fria_freya,right,public/assets/atlas/npcs/region_artica/maestro_v1/runtime/fria_freya/idle_right.webp,72,96,9184,fa953dff2bb37615c8721b2182b9607acfd2a2ef966ac937ecb77df9af5bfee8
fria_helga,down,public/assets/atlas/npcs/region_artica/maestro_v1/runtime/fria_helga/idle_down.webp,72,96,10490,36ba81c985bbe23bef572ae7424b24ecccb1f4a3be5ce7c99f4e273dbe16f4af
fria_helga,up,public/assets/atlas/npcs/region_artica/maestro_v1/runtime/fria_helga/idle_up.webp,72,96,9660,ee7cff6a97ca91815c596ea974c62628e55a9929e79448fff2e14f5a25e10743
fria_helga,left,public/assets/atlas/npcs/region_artica/maestro_v1/runtime/fria_helga/idle_left.webp,72,96,10632,6e2dcec6c7e64dbfdde7a5a8e5208a1399b01b3040b34f9900d12f87ca1c46e3
fria_helga,right,public/assets/atlas/npcs/region_artica/maestro_v1/runtime/fria_helga/idle_right.webp,72,96,9856,5b2ddb557d10cf5db1275ae5d11397c83e9d79ffad0087dfda6ef39936fb5c4b
fria_hostelera,down,public/assets/atlas/npcs/region_artica/maestro_v1/runtime/fria_hostelera/idle_down.webp,72,96,7370,c6f70b6f0102b1667aa65e8f795b99544a9d43d3dbe13834df4ef5910d9d5a29
fria_hostelera,up,public/assets/atlas/npcs/region_artica/maestro_v1/runtime/fria_hostelera/idle_up.webp,72,96,6744,0566bc0f728237ff346890873257d108120d0429278dceb73130a7eaf7cd4bb7
fria_hostelera,left,public/assets/atlas/npcs/region_artica/maestro_v1/runtime/fria_hostelera/idle_left.webp,72,96,8030,57c2ac6cb6214275e1650700eb7c77c682f6b6649c4894ea37f9d9b15357fe42
fria_hostelera,right,public/assets/atlas/npcs/region_artica/maestro_v1/runtime/fria_hostelera/idle_right.webp,72,96,7252,1ad10d130a2ac071e371414926f6695d94346171729a3db6643b42a584327347
fria_kael_forger,down,public/assets/atlas/npcs/region_artica/maestro_v1/runtime/fria_kael_forger/idle_down.webp,72,96,9148,7999f82a4bd78f4a14e7aa142e7aead547abae4c5f2be93526f2024db511a310
fria_kael_forger,up,public/assets/atlas/npcs/region_artica/maestro_v1/runtime/fria_kael_forger/idle_up.webp,72,96,8630,2529f4635151a3ee44aa296ba56be2e0242981f0046324cfa1727e186aea3097
fria_kael_forger,left,public/assets/atlas/npcs/region_artica/maestro_v1/runtime/fria_kael_forger/idle_left.webp,72,96,9362,fa472323c817910cae0fc18f4b85dbac3b0b955ee55e0533f18d90748617e3df
fria_kael_forger,right,public/assets/atlas/npcs/region_artica/maestro_v1/runtime/fria_kael_forger/idle_right.webp,72,96,9004,2a3f9097e4e775bbfc5233d98df4b5c2e3c27d333e5dfc7756201dcc21c11536
fria_lyra_cartographer,down,public/assets/atlas/npcs/region_artica/maestro_v1/runtime/fria_lyra_cartographer/idle_down.webp,72,96,9230,1a70b97798070672d800375275a407aba788727ea94dd555e0090b84fa89a497
fria_lyra_cartographer,up,public/assets/atlas/npcs/region_artica/maestro_v1/runtime/fria_lyra_cartographer/idle_up.webp,72,96,8342,9c43da8ad66fedc30b936fcaff86eeaa901faee809601ac5fd9bced678efa591
fria_lyra_cartographer,left,public/assets/atlas/npcs/region_artica/maestro_v1/runtime/fria_lyra_cartographer/idle_left.webp,72,96,9372,7053090ba61f0c8138a89675d535213bc4165c46da69574d0ea569a5e3c6ebe1
fria_lyra_cartographer,right,public/assets/atlas/npcs/region_artica/maestro_v1/runtime/fria_lyra_cartographer/idle_right.webp,72,96,8960,d6bc74e59be36fae5d782cd33ffae8425a54838418767df444618778e67263d9
fria_lyra_researcher,down,public/assets/atlas/npcs/region_artica/maestro_v1/runtime/fria_lyra_researcher/idle_down.webp,72,96,9920,d417feae1febea7855ed671d2078fa71ba128a06ac96b02921c15ed861ca0f6c
fria_lyra_researcher,up,public/assets/atlas/npcs/region_artica/maestro_v1/runtime/fria_lyra_researcher/idle_up.webp,72,96,9310,eb0f8c361c57989afdfbb6b15fc7e32eab5f00e78c1251a1314b690d5f918e7f
fria_lyra_researcher,left,public/assets/atlas/npcs/region_artica/maestro_v1/runtime/fria_lyra_researcher/idle_left.webp,72,96,10074,f0c0829ef849a15e4dbca325fe83e475bc3a4502ac7b66f2a66b0130c131e673
fria_lyra_researcher,right,public/assets/atlas/npcs/region_artica/maestro_v1/runtime/fria_lyra_researcher/idle_right.webp,72,96,9798,d126d09069ff09887f0a05c45fffd613fd99363d27835ed9d8eb1d0ad417cfee
fria_merchant_camp,down,public/assets/atlas/npcs/region_artica/maestro_v1/runtime/fria_merchant_camp/idle_down.webp,72,96,9662,0ea32f755a9053ca215a5c4fc6152567b7efa907d1523cab35bc531c4c94fce8
fria_merchant_camp,up,public/assets/atlas/npcs/region_artica/maestro_v1/runtime/fria_merchant_camp/idle_up.webp,72,96,9394,9b880ebfbfdb77d0085f98592f8c144477c9f975f551ae745b15780142eb1269
