archivo,tipo,categoria,estado,nuevo
terrain_a1.webp,terreno,terrenos,aprobado,no
terrain_a2.webp,terreno,terrenos,aprobado,no
terrain_a3.webp,terreno,terrenos,aprobado,no
terrain_b1.webp,terreno,terrenos,aprobado,no
terrain_b2.webp,terreno,terrenos,aprobado,no
terrain_b3.webp,terreno,terrenos,aprobado,no
terrain_c1.webp,terreno,terrenos,aprobado,no
terrain_c2.webp,terreno,terrenos,aprobado,no
terrain_c3.webp,terreno,terrenos,aprobado,no
tree_pine_tall_01.webp,objeto,01_NATURALEZA,aprobado,no
tree_pine_tall_02.webp,objeto,01_NATURALEZA,aprobado,no
tree_pine_tall_03.webp,objeto,01_NATURALEZA,aprobado,no
tree_round_01.webp,objeto,01_NATURALEZA,aprobado,no
tree_round_02.webp,objeto,01_NATURALEZA,aprobado,no
bush_medium_01.webp,objeto,01_NATURALEZA,aprobado,no
bush_medium_02.webp,objeto,01_NATURALEZA,aprobado,no
wildflowers_01.webp,objeto,01_NATURALEZA,aprobado,no
rock_medium_01.webp,objeto,01_NATURALEZA,aprobado,no
bridge_main.webp,objeto,02_RUINAS_Y_EXPLORACION,aprobado,no
ruin_wall_clean.webp,objeto,02_RUINAS_Y_EXPLORACION,aprobado,no
ruin_arch_clean.webp,objeto,02_RUINAS_Y_EXPLORACION,aprobado,no
cave_entrance_clean.webp,objeto,02_RUINAS_Y_EXPLORACION,aprobado,no
watchtower_complete.webp,objeto,02_RUINAS_Y_EXPLORACION,aprobado,no
city_gate_complete.webp,objeto,02_RUINAS_Y_EXPLORACION,aprobado,no
sanctuary_portal_clean.webp,objeto,03_CAMPAMENTO,aprobado,no
smithy_building_main.webp,objeto,03_CAMPAMENTO,aprobado,no
tent_red_01.webp,objeto,03_CAMPAMENTO,aprobado,no
tent_beige_01.webp,objeto,03_CAMPAMENTO,aprobado,no
tent_beige_02.webp,objeto,03_CAMPAMENTO,aprobado,no
tent_green_01.webp,objeto,03_CAMPAMENTO,aprobado,no
campfire_main.webp,objeto,03_CAMPAMENTO,aprobado,no
crate_01.webp,objeto,03_CAMPAMENTO,aprobado,no
barrel_01.webp,objeto,03_CAMPAMENTO,aprobado,no
fence_segment_clean.webp,objeto,03_CAMPAMENTO,aprobado,no
woodpile_01.webp,objeto,03_CAMPAMENTO,aprobado,no
sign_to_lagoon.webp,objeto,04_SENALIZACION,aprobado,no
sign_to_city.webp,objeto,04_SENALIZACION,aprobado,no
sign_to_forest.webp,objeto,04_SENALIZACION,aprobado,no
sign_notice_small.webp,objeto,04_SENALIZACION,aprobado,no
prop_banner.webp,objeto,04_SENALIZACION,aprobado,no
city_hall.webp,objeto,05_CIUDAD_DE_VERDALIA,aprobado,no
city_barracks.webp,objeto,05_CIUDAD_DE_VERDALIA,aprobado,no
city_smithy.webp,objeto,05_CIUDAD_DE_VERDALIA,aprobado,no
city_inn.webp,objeto,05_CIUDAD_DE_VERDALIA,aprobado,no
village_house_green.webp,objeto,06_PUEBLO_DE_ROBLEDAL,aprobado,no
village_shop.webp,objeto,06_PUEBLO_DE_ROBLEDAL,aprobado,no
village_inn.webp,objeto,06_PUEBLO_DE_ROBLEDAL,aprobado,no
village_smithy.webp,objeto,06_PUEBLO_DE_ROBLEDAL,aprobado,no
ruin_arch_corrupted_01.webp,objeto,07_C3_ESPECIAL,aprobado,sí
