id,raza,clase,direccion,master,runtime
humano_guerrero,Humano,Guerrero,down,masters/humano_guerrero/down.webp,runtime/humano_guerrero/down.webp
humano_guerrero,Humano,Guerrero,up,masters/humano_guerrero/up.webp,runtime/humano_guerrero/up.webp
humano_guerrero,Humano,Guerrero,left,masters/humano_guerrero/left.webp,runtime/humano_guerrero/left.webp
humano_guerrero,Humano,Guerrero,right,masters/humano_guerrero/right.webp,runtime/humano_guerrero/right.webp
humano_mago,Humano,Mago,down,masters/humano_mago/down.webp,runtime/humano_mago/down.webp
humano_mago,Humano,Mago,up,masters/humano_mago/up.webp,runtime/humano_mago/up.webp
humano_mago,Humano,Mago,left,masters/humano_mago/left.webp,runtime/humano_mago/left.webp
humano_mago,Humano,Mago,right,masters/humano_mago/right.webp,runtime/humano_mago/right.webp
humano_picaro,Humano,Pícaro,down,masters/humano_picaro/down.webp,runtime/humano_picaro/down.webp
humano_picaro,Humano,Pícaro,up,masters/humano_picaro/up.webp,runtime/humano_picaro/up.webp
humano_picaro,Humano,Pícaro,left,masters/humano_picaro/left.webp,runtime/humano_picaro/left.webp
humano_picaro,Humano,Pícaro,right,masters/humano_picaro/right.webp,runtime/humano_picaro/right.webp
enano_guerrero,Enano,Guerrero,down,masters/enano_guerrero/down.webp,runtime/enano_guerrero/down.webp
enano_guerrero,Enano,Guerrero,up,masters/enano_guerrero/up.webp,runtime/enano_guerrero/up.webp
enano_guerrero,Enano,Guerrero,left,masters/enano_guerrero/left.webp,runtime/enano_guerrero/left.webp
enano_guerrero,Enano,Guerrero,right,masters/enano_guerrero/right.webp,runtime/enano_guerrero/right.webp
enano_mago,Enano,Mago,down,masters/enano_mago/down.webp,runtime/enano_mago/down.webp
enano_mago,Enano,Mago,up,masters/enano_mago/up.webp,runtime/enano_mago/up.webp
enano_mago,Enano,Mago,left,masters/enano_mago/left.webp,runtime/enano_mago/left.webp
enano_mago,Enano,Mago,right,masters/enano_mago/right.webp,runtime/enano_mago/right.webp
enano_picaro,Enano,Pícaro,down,masters/enano_picaro/down.webp,runtime/enano_picaro/down.webp
enano_picaro,Enano,Pícaro,up,masters/enano_picaro/up.webp,runtime/enano_picaro/up.webp
enano_picaro,Enano,Pícaro,left,masters/enano_picaro/left.webp,runtime/enano_picaro/left.webp
enano_picaro,Enano,Pícaro,right,masters/enano_picaro/right.webp,runtime/enano_picaro/right.webp
elfo_guerrero,Elfo,Guerrero,down,masters/elfo_guerrero/down.webp,runtime/elfo_guerrero/down.webp
elfo_guerrero,Elfo,Guerrero,up,masters/elfo_guerrero/up.webp,runtime/elfo_guerrero/up.webp
elfo_guerrero,Elfo,Guerrero,left,masters/elfo_guerrero/left.webp,runtime/elfo_guerrero/left.webp
elfo_guerrero,Elfo,Guerrero,right,masters/elfo_guerrero/right.webp,runtime/elfo_guerrero/right.webp
elfo_mago,Elfo,Mago,down,masters/elfo_mago/down.webp,runtime/elfo_mago/down.webp
elfo_mago,Elfo,Mago,up,masters/elfo_mago/up.webp,runtime/elfo_mago/up.webp
elfo_mago,Elfo,Mago,left,masters/elfo_mago/left.webp,runtime/elfo_mago/left.webp
elfo_mago,Elfo,Mago,right,masters/elfo_mago/right.webp,runtime/elfo_mago/right.webp
elfo_picaro,Elfo,Pícaro,down,masters/elfo_picaro/down.webp,runtime/elfo_picaro/down.webp
elfo_picaro,Elfo,Pícaro,up,masters/elfo_picaro/up.webp,runtime/elfo_picaro/up.webp
elfo_picaro,Elfo,Pícaro,left,masters/elfo_picaro/left.webp,runtime/elfo_picaro/left.webp
elfo_picaro,Elfo,Pícaro,right,masters/elfo_picaro/right.webp,runtime/elfo_picaro/right.webp
